"Date","Day","Month","Year","Type","Country","Area","Location","Activity","Sex","Age","Injury","Fatal..Y.N.","Species","address","latitude","longitude"
"2-Sep-06",2,"Sep",2006,"Unprovoked","SOUTH AFRICA","Western Cape Province","Noordhoek","Surfing","M",37,"No injury, shark rammed surfboard","N","White shark","Noordhoek , Western Cape Province , SOUTH AFRICA",-34.10237,18.3860300000001
"29-Aug-06",29,"Aug",2006,"Unprovoked","USA","Oregon","Florence, Lane County","Surfing","M",23,"Laceration & puncture wounds to foot","N","Unknown","Florence, Lane County , Oregon , USA",43.9691300000001,-124.10721
"27-Aug-06",27,"Aug",2006,"Unprovoked","REUNION","Saint-Gilles-les-Bains","Les Aigrettes, near Boucan-Canot","Paddle and Boogie boarding","M",27,"Laceration to right calf & heel","N","Unknown","Les Aigrettes, near Boucan-Canot , Saint-Gilles-les-Bains , REUNION",-21.0507549815492,55.2301308204963
"20-Aug-06",20,"Aug",2006,"Unprovoked","REUNION","Saint-Pierre","Pointe du Diable","Surfing","M",34,"FATAL","Y","Unknown","Pointe du Diable , Saint-Pierre , REUNION",-21.2962040248866,55.5099015689864
"31-Jul-06",31,"Jul",2006,"Unprovoked","USA","Oregon","Oswald State Park","Surfing","M",41,"Minor injury","N","White shark","Oswald State Park , Oregon , USA",45.7612300000001,-123.95848
"29-Jul-06",29,"Jul",2006,"Unprovoked","USA","Florida","Playalinda Beach, Canaveral National Seashore, Brevard County","Surfing","M",15,"Foot bitten","N","Unknown","Playalinda Beach, Canaveral National Seashore, Brevard County , Florida , USA",28.7875090000001,-80.754431
"28-Jul-06",28,"Jul",2006,"Unprovoked","SOUTH AFRICA","Western Cape Province","Fish Hoek","Surfing","M",19,"No injury, surf ski bitten","N","White shark","Fish Hoek , Western Cape Province , SOUTH AFRICA",-33.8766899999999,22.3608400000001
"25-Jul-06",25,"Jul",2006,"Unprovoked","USA","Florida","New Smyrna Beach, Volusia County","Surfing","M",14,"Minor lacerations to right foot","N","Unknown","New Smyrna Beach, Volusia County , Florida , USA",29.02716,-80.92303
"17-Jul-06",17,"Jul",2006,"Unprovoked","USA","South Carolina","Singleton Beach, Hilton Head Island, Beaufort County","Standing","M",49,"Left ankle & foot bitten","N","Angel shark","Singleton Beach, Hilton Head Island, Beaufort County , South Carolina , USA",32.18922,-80.70034
"12-Jul-06",12,"Jul",2006,"Unprovoked","USA","South Carolina","Kiawah Island, Charleston County","Swimming","F",21,"Ankle & foot bitten","N","Unknown","Kiawah Island, Charleston County , South Carolina , USA",32.5964000000001,-80.10774
"9-Jul-06",9,"Jul",2006,"Unprovoked","USA","Florida","New Smyrna Beach, Volusia County","Walking","M",40,"Dorsum of left foot bitten","N","Unknown","New Smyrna Beach, Volusia County , Florida , USA",29.02716,-80.92303
"09-Jul-2006.",9,"Jul",2006,"Unprovoked","USA","Florida","Ponte Vedra Beach, St Johns County","Walking","M",11,"Lower leg & ankle bitten","N","Unknown","Ponte Vedra Beach, St Johns County , Florida , USA",30.22612,-81.38668
"8-Jul-06",8,"Jul",2006,"Unprovoked","USA","South Carolina","Debordieu Beach, Georgetown County","Paddle and Boogie boarding","F",14,"Foot bitten","N","Bull shark","Debordieu Beach, Georgetown County , South Carolina , USA",33.37589,-79.15036
"8-Jul-06",8,"Jul",2006,"Unprovoked","USA","Florida","Playalinda Beach, Canaveral National Seashore, Brevard County","Swimming","M",13,"Right calf bitten","N","Unknown","Playalinda Beach, Canaveral National Seashore, Brevard County , Florida , USA",28.7875090000001,-80.754431
"27-Jun-06",27,"Jun",2006,"Unprovoked","USA","Florida","Hutchinson Island, St. Lucie County","Paddle and Boogie boarding","F",9,"Right calf bitten","N","Unknown","Hutchinson Island, St. Lucie County , Florida , USA",27.3078100000001,-80.22155
"24-Jun-06",24,"Jun",2006,"Unprovoked","BAHAMAS","Andros Islands","Mangrove Cay","Fishing","M",25,"Right arm severely bitten","N","Unknown","Mangrove Cay , Andros Islands , BAHAMAS",26.2500000000001,-77.56667
"20-Jun-06",20,"Jun",2006,"Unprovoked","USA","Florida","New Smyrna Beach, Volusia County","Surfing","F",22,"2-inch puncture wounds on right foot","N","Unknown","New Smyrna Beach, Volusia County , Florida , USA",29.02716,-80.92303
"18-Jun-06",18,"Jun",2006,"Unprovoked","BRAZIL","Pernambuco","Punta Del Chifre Beach, Olinda","Paddle and Boogie boarding","M",27,"Left thigh bitten FATAL","Y","Unknown","Punta Del Chifre Beach, Olinda , Pernambuco , BRAZIL",-8.01738999999998,-34.8481399999999
"17-Jun-06",17,"Jun",2006,"Unprovoked","USA","California","Monterey, Monterey County","Diving","M",43,"No injury, shark bit scuba tank boot","N","Unknown","Monterey, Monterey County , California , USA",36.5982000000001,-121.89647
"15-Jun-06",15,"Jun",2006,"Unprovoked","USA","Florida","New Smyrna Beach, Volusia County","Surfing","M",24,"Four 1-inch puncture wounds on left foot","N","Unknown","New Smyrna Beach, Volusia County , Florida , USA",29.02716,-80.92303
"7-Jun-06",7,"Jun",2006,"Unprovoked","USA","South Carolina","Coligny Beach, Hilton Head, Beaufort County","Playing in the water","F",7,"Lacerations & puncture wounds to left foot & buttocks","N","Unknown","Coligny Beach, Hilton Head, Beaufort County , South Carolina , USA",32.1429544422628,-80.7507688689133
"5-Jun-06",5,"Jun",2006,"Unprovoked","AUSTRALIA","South Australia","Waitpinga","Surfing","M",40,"No injury, knocked off surfboard","N","White shark","Waitpinga , South Australia , AUSTRALIA",-35.5624999999999,138.5275
"31-May-06",31,"May",2006,"Unprovoked","USA","Hawaii","O'ahu","Fishing","M",26,"4"" laceration to left forearm","N","Tiger shark","O'ahu , Hawaii , USA",21.4333300000001,-157.96667
"27-May-06",27,"May",2006,"Unprovoked","USA","Hawaii","North Shore, O'ahu","Surfing","M",31,"No injury, shark bumped surfboard","N","Unknown","North Shore, O'ahu , Hawaii , USA",21.678362,-158.033543
"24-May-06",24,"May",2006,"Provoked","USA","Hawaii","Lanai","Fishing","M",15,"Knee bitten after diver poked shark PROVOKED INCIDENT","N","Grey reef shark","Lanai , Hawaii , USA",20.84167,-156.91778
"21-May-06",21,"May",2006,"Unprovoked","BRAZIL","Pernambuco","Boa Viagem Beach, Recife","Surfing","M",33,"Injuries to left thigh, calf & foot","N","Unknown","Boa Viagem Beach, Recife , Pernambuco , BRAZIL",-8.10264999999993,-34.8857599999999
"2-May-06",2,"May",2006,"Provoked","AUSTRALIA","Queensland","Moffat Beach, Caloundra","Snorkeling","M",46,"Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT","N","Wobbegong shark","Moffat Beach, Caloundra , Queensland , AUSTRALIA",-26.7913350308274,153.143016143303
"21-Apr-06",21,"Apr",2006,"Unprovoked","USA","Florida","Sebastian Inlet, Brevard County","Surfing","M",54,"Feet bitten","N","Unknown","Sebastian Inlet, Brevard County , Florida , USA",27.8863900000001,-80.46143
"19-Apr-06",19,"Apr",2006,"Unprovoked","USA","Florida","Daytona Beach, Volusia County","Standing","F",13,"3 tiny punctures & small lacerations on right ankle","N","Unknown","Daytona Beach, Volusia County , Florida , USA",29.2035700000001,-81.0393999999999
"13-Apr-06",13,"Apr",2006,"Provoked","USA","Florida","Port of the Islands, Collier County","Fishing","M",35,"3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT","N","Bull shark","Port of the Islands, Collier County , Florida , USA",25.95926,-81.51149
"11-Apr-06",11,"Apr",2006,"Unprovoked","AUSTRALIA","New South Wales","Newcastle Beach","Surfing","M",15,"Minor laceration to left foot","N","Bronze whaler shark","Newcastle Beach , New South Wales , AUSTRALIA",-32.9216299999999,151.79115
"9-Apr-06",9,"Apr",2006,"Unprovoked","SOUTH AFRICA","Eastern Cape Province","St. Francis Bay","Paddle and Boogie boarding","M",15,"Leg bitten","N","Raggedtooth shark","St. Francis Bay , Eastern Cape Province , SOUTH AFRICA",-34.1602599999999,24.8261800000001
"9-Apr-06",9,"Apr",2006,"Unprovoked","BRAZIL","Pernambuco","Piedade","Swimming","M",35,"Left leg bitten","N","Tiger shark","Piedade , Pernambuco , BRAZIL",-8.18332999999996,-34.91667
"3-Apr-06",3,"Apr",2006,"Unprovoked","USA","Florida","Marco Island, Collier County","Walking","M",11,"Minor injury to right hand & thigh","N","Unknown","Marco Island, Collier County , Florida , USA",25.9540900000001,-81.7246299999999
"23-Mar-06",23,"Mar",2006,"Unprovoked","USA","Hawaii","Leftovers, near Waimea Bay, O'ahu","Surfing","F",28,"5 puncture wounds in left calf","N","Tiger shark","Leftovers, near Waimea Bay, O'ahu , Hawaii , USA",20.02034,-155.66899
"18-Mar-06",18,"Mar",2006,"Unprovoked","FIJI","Vitu Levu","Sigatoka","Surfing","M",21,"Lacerations to right hand","N","Tiger shark","Sigatoka , Vitu Levu , FIJI",-18.14316,177.51194
"15-Mar-06",15,"Mar",2006,"Unprovoked","AUSTRALIA","New South Wales","Bondi, Sydney","Surfing","M",15,"No injury, shark nudged surfboard","N","Bronze whaler shark","Bondi, Sydney , New South Wales , AUSTRALIA",-33.8937999999999,151.26299
"27-Feb-06",27,"Feb",2006,"Unprovoked","USA","Hawaii","Makena, Maui","Standing","F",15,"Deep laceration to right calf","N","Unknown","Makena, Maui , Hawaii , USA",20.65444,-156.4425
"13-Feb-06",13,"Feb",2006,"Unprovoked","AUSTRALIA","Queensland","Golden Beach, Caloundra","Walking","M",18,"Lacerations to foot","N","Unknown","Golden Beach, Caloundra , Queensland , AUSTRALIA",-26.8032395880521,153.097969002821
"8-Feb-06",8,"Feb",2006,"Unprovoked","SOUTH AFRICA","Eastern Cape Province","Nahoon, East London","Surfing","M",15,"2 bite marks on right calf","N","Raggedtooth shark","Nahoon, East London , Eastern Cape Province , SOUTH AFRICA",-32.9792830740076,27.9412388381523
"1-Feb-06",1,"Feb",2006,"Unprovoked","TONGA","Vava'u","Tu?anuku","Swimming","F",24,"Severe bite to right leg FATAL","Y","Tiger shark","Tu?anuku , Vava'u , TONGA",-18.66667,-174.03333
"25-Jan-06",25,"Jan",2006,"Unprovoked","SOUTH AFRICA","Eastern Cape Province","Coffee Bay","Fishing","M",34,"Right arm  bitten","N","Unknown","Coffee Bay , Eastern Cape Province , SOUTH AFRICA",-31.9836999999999,29.1477800000001
"15-Jan-06",15,"Jan",2006,"Unprovoked","AUSTRALIA","Western Australia","Off City Beach, Perth","Diving","M",52,"Lacerations to left elbow","N","White shark","Off City Beach, Perth , Western Australia , AUSTRALIA",-31.9136599999999,115.76083
"7-Jan-06",7,"Jan",2006,"Unprovoked","AUSTRALIA","Queensland","Amity Point, North Stradbroke Island","Swimming","F",21,"FATAL","Y","Bull shark","Amity Point, North Stradbroke Island , Queensland , AUSTRALIA",-27.4009699595165,153.438295085653
"4-Jan-06",4,"Jan",2006,"Unprovoked","USA","Florida","Round Island Park, Indian River County","Surfing","M",21,"3 puncture wounds in right wrist & hand","N","Unknown","Round Island Park, Indian River County , Florida , USA",27.56087,-80.32672
"1-Jan-06",1,"Jan",2006,"Unprovoked","SOUTH AFRICA","Western Cape Province","Soetwater","Diving","M",49,"Lacerations to little finger","N","Unknown","Soetwater , Western Cape Province , SOUTH AFRICA",-33.8766899999999,22.3608400000001
"24-Dec-05",24,"Dec",2005,"Unprovoked","USA","Oregon","Tillamook Head, Clatsop County","Surfing","M",30,"Lacerations to ankle & calf","N","White shark","Tillamook Head, Clatsop County , Oregon , USA",45.9415000000001,-123.95681
"21-Dec-05",21,"Dec",2005,"Unprovoked","USA","Hawaii","Keawakapu Beach, Maui","Swimming","M",29,"Left hand bitten","N","Tiger shark","Keawakapu Beach, Maui , Hawaii , USA",20.70291,-156.44496
"11-Dec-05",11,"Dec",2005,"Unprovoked","AUSTRALIA","Queensland","St. Crispin Reef","Fishing","M",44,"Right forearm & elbow bitten","N","Reef shark","St. Crispin Reef , Queensland , AUSTRALIA",-16.1,145.83333
"27-Nov-05",27,"Nov",2005,"Unprovoked","USA","Florida","Ponce Inlet, New Smyrna Beach, Volusia County","Surfing","M",23,"Right thumb & palm lacerated","N","Unknown","Ponce Inlet, New Smyrna Beach, Volusia County , Florida , USA",29.0459292263418,-80.9382424631848
"25-Nov-05",25,"Nov",2005,"Unprovoked","AUSTRALIA","Victoria","Flinders","Surfing","M",18,"2 lacerations on leg, each 4"" to 5"" long","N","Unknown","Flinders , Victoria , AUSTRALIA",-38.4739499999999,145.0175
"25-Nov-05",25,"Nov",2005,"Unprovoked","SOUTH AFRICA","Eastern Cape Province","Nahoon, East London","Surfing","M",26,"Cut on finger, board bitten","N","Unknown","Nahoon, East London , Eastern Cape Province , SOUTH AFRICA",-32.9792830740076,27.9412388381523
"20-Nov-05",20,"Nov",2005,"Unprovoked","USA","Florida","New Smyrna  Beach, Volusia County","Surfing","M",17,"Lacerations to right thigh","N","Unknown","New Smyrna  Beach, Volusia County , Florida , USA",29.02716,-80.92303
"15-Nov-05",15,"Nov",2005,"Provoked","SOUTH AFRICA","Eastern Cape Province","Aston Bay","Fishing","M",32,"Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT","N","Raggedtooth shark","Aston Bay , Eastern Cape Province , SOUTH AFRICA",-34.08008,24.9015000000001
"12-Nov-05",12,"Nov",2005,"Unprovoked","USA","Florida","New Smyrna  Beach, Volusia County","Surfing","M",18,"Puncture wounds to right foot","N","Unknown","New Smyrna  Beach, Volusia County , Florida , USA",29.02716,-80.92303
"2-Nov-05",2,"Nov",2005,"Unprovoked","USA","California","Mavericks, Half Moon Bay, San Mateo County","Surfing","M",25,"No injury, board bitten","N","Unknown","Mavericks, Half Moon Bay, San Mateo County , California , USA",37.50156,-122.49676
"2-Nov-05",2,"Nov",2005,"Unprovoked","USA","California","Ocean Beach, San Francisco, San Francisco County","Surfing","M",26,"No injury, board bumped","N","White shark","Ocean Beach, San Francisco, San Francisco County , California , USA",37.760293,-122.504273
"29-Oct-05",29,"Oct",2005,"Unprovoked","USA","Florida","Ponce de Leon Inlet, Volusia County","Walking","M",15,"Puncture wounds to foot","N","Unknown","Ponce de Leon Inlet, Volusia County , Florida , USA",29.07248,-80.91866
"25-Oct-05",25,"Oct",2005,"Unprovoked","ST.?MARTIN","Simpson Bay","Sunterra Beach","Standing","M",55,"Lower right leg lacerated","N","Unknown","Sunterra Beach , Simpson Bay , ST.?MARTIN",18.0402,-63.11646
"22-Oct-05",22,"Oct",2005,"Unprovoked","SOUTH AFRICA","Western Cape Province","Uilenkraalsmond (near Gansbaai)","Surfing","M",20,"Right foot bitten","N","Unknown","Uilenkraalsmond (near Gansbaai) , Western Cape Province , SOUTH AFRICA",-34.60293,19.4099800000001
"21-Oct-05",21,"Oct",2005,"Unprovoked","USA","California","Klamath River mouth, Del Norte County","Surfing","M",36,"No injury","N","White shark","Klamath River mouth, Del Norte County , California , USA",41.53306,-124.08113
"19-Oct-05",19,"Oct",2005,"Unprovoked","USA","California","Salmon Beach, Sonoma County","Surfing","F",20,"Leg bitten","N","White shark","Salmon Beach, Sonoma County , California , USA",38.3502704624154,-122.789839490295
"15-Oct-05",15,"Oct",2005,"Provoked","USA","Florida","Ponce Inlet, Volusia County","Walking","M",15,"Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT","N","Unknown","Ponce Inlet, Volusia County , Florida , USA",29.12154,-80.9520899999999
"13-Oct-05",13,"Oct",2005,"Unprovoked","USA","Hawaii","Honokowai, Maui","Surfing","M",22,"No injury, surfboard bitten","N","Tiger shark","Honokowai, Maui , Hawaii , USA",20.95108,-156.68721
"11-Oct-05",11,"Oct",2005,"Unprovoked","GRAND CAYMAN","East Wall","Jack McKenney's Canyon","Diving","F",57,"No injury","N","Caribbean reef shark","Jack McKenney's Canyon , East Wall , GRAND CAYMAN",19.3184279380001,-81.2432287949999
"6-Oct-05",6,"Oct",2005,"Unprovoked","USA","Florida","Ponce Inlet, Volusia County","Walking","M",48,"Five 1-inch lacerations to left foot","N","Unknown","Ponce Inlet, Volusia County , Florida , USA",29.12154,-80.9520899999999
"3-Oct-05",3,"Oct",2005,"Unprovoked","BAHAMAS","Abaco Islands","Grand Cay","Diving","M",35,"Lacerations to right side of face","N","Unknown","Grand Cay , Abaco Islands , BAHAMAS",27.2166700000001,-78.33333
"1-Oct-05",1,"Oct",2005,"Unprovoked","SOUTH AFRICA","Western Cape Province","Sunny Cove, Fish Hoek","Surfing","M",52,"No injury, shark bit ski","N","White shark","Sunny Cove, Fish Hoek , Western Cape Province , SOUTH AFRICA",-33.8766899999999,22.3608400000001
"27-Sep-05",27,"Sep",2005,"Unprovoked","AUSTRALIA","New South Wales","Arakoon's Little Bay","Surfing","M",28,"No injury, knocked off board","N","Tiger shark","Arakoon's Little Bay , New South Wales , AUSTRALIA",-33.98292,151.24238
"24-Sep-05",24,"Sep",2005,"Unprovoked","AUSTRALIA","South Australia","Kangaroo Island","Surfing","M",26,"Lacerations to legs","N","White shark","Kangaroo Island , South Australia , AUSTRALIA",-35.8239,137.33392
"23-Sep-05",23,"Sep",2005,"Unprovoked","AUSTRALIA","Western Australia","Scarborough Beach, Perth","Surfing","M",44,"No injury","N","Bronze whaler shark","Scarborough Beach, Perth , Western Australia , AUSTRALIA",-31.89417,115.75526
"20-Sep-05",20,"Sep",2005,"Unprovoked","USA","South Carolina","Myrtle Beach, Horry County","Paddle and Boogie boarding","F",68,"Injuries to fingers, calf  & heel","N","Unknown","Myrtle Beach, Horry County , South Carolina , USA",33.6937300000001,-78.8823199999999
"11-Sep-05",11,"Sep",2005,"Unprovoked","USA","South Carolina","Folly Beach","Surfing","M",18,"FATAL","Y","Unknown","Folly Beach , South Carolina , USA",32.65522,-79.94062
"7-Sep-05",7,"Sep",2005,"Unprovoked","AUSTRALIA","New South Wales","Park Beach, Coff's Harbour","Standing","M",15,"Left foot & ankle lacerated","N","Unknown","Park Beach, Coff's Harbour , New South Wales , AUSTRALIA",-30.2950799999999,153.13854
"5-Sep-05",5,"Sep",2005,"Unprovoked","USA","North Carolina","North Topsail Beach, Onslow County","Walking","F",18,"Calf severely lacerated","N","Bull shark","North Topsail Beach, Onslow County , North Carolina , USA",34.4929900000001,-77.42634
"4-Sep-05",4,"Sep",2005,"Unprovoked","AUSTRALIA","South Australia","Fishery Bay, Eyre Peninsula","Surfing","M",40,"Lacerations to right arm & thigh","N","White shark","Fishery Bay, Eyre Peninsula , South Australia , AUSTRALIA",-34.3333299999999,135.75
"2-Sep-05",2,"Sep",2005,"Unprovoked","USA","Florida","Ponce Inlet, Volusia County","Surfing","M",62,"Right foot bitten","N","Unknown","Ponce Inlet, Volusia County , Florida , USA",29.12154,-80.9520899999999
"24-Aug-05",24,"Aug",2005,"Unprovoked","AUSTRALIA","South Australia","Glenelg","Diving","M",23,"FATAL","Y","White shark","Glenelg , South Australia , AUSTRALIA",-34.97827,138.52
"24-Aug-05",24,"Aug",2005,"Unprovoked","USA","California","Scripps, LaJolla, San Diego County","Surfing","M",37,"Lower right leg lacerated","N","White shark","Scripps, LaJolla, San Diego County , California , USA",32.8433975269325,-117.279013271478
"21-Aug-05",21,"Aug",2005,"Unprovoked","USA","South Carolina","34th Avenue North, Myrtle Beach, Horry County","Swimming","M",8,"Bitten underneath left arm","N","Unknown","34th Avenue North, Myrtle Beach, Horry County , South Carolina , USA",33.7128810372145,-78.8601147152783
"19-Aug-05",19,"Aug",2005,"Unprovoked","USA","Texas","Crystal Beach (east of Galveston)","Walking","M",12,"Left foot bitten","N","Unknown","Crystal Beach (east of Galveston) , Texas , USA",29.4541792817085,-94.6366306845579
"12-Aug-05",12,"Aug",2005,"Unprovoked","USA","North Carolina","Carolina Beach off Texas Avenue, New Hanover County","Surfing","M",16,"Laceration on right wrist & crescent of puncture wounds on  forearm","N","Unknown","Carolina Beach off Texas Avenue, New Hanover County , North Carolina , USA",34.0161407633377,-77.9021799884971
"6-Aug-05",6,"Aug",2005,"Unprovoked","USA","South Carolina","Isle of Palms, Charleston County","Swimming","M",14,"Puncture wounds on left foot","N","Unknown","Isle of Palms, Charleston County , South Carolina , USA",32.78997,-79.7838399999999
"27-Jul-05",27,"Jul",2005,"Unprovoked","USA","Florida","Off Zelda Boulevard, Daytona Beach, Volusia Countyy","Walking","F",13,"Laceration on the back of left hand & toothmarks on wrist","N","Unknown","Off Zelda Boulevard, Daytona Beach, Volusia Countyy , Florida , USA",29.249290541933,-81.0255639517261
"23-Jul-05",23,"Jul",2005,"Unprovoked","USA","Florida","Ormond Beach, Volusia County","Surfing","M",61,"Right foot: Toes and back of foot, minor injury","N","Unknown","Ormond Beach, Volusia County , Florida , USA",29.28558,-81.05555
"17-Jul-05",17,"Jul",2005,"Provoked","CHINA","Shanghai","Ocean World, Changfeng Park","Diving","M",24,"2 small cuts on right ear & head when he collided with the captive shark. PROVOKED INCIDENT","N","Unknown","Ocean World, Changfeng Park , Shanghai , CHINA",31.36992,121.71656
"15-Jul-05",15,"Jul",2005,"Unprovoked","USA","North Carolina","Holden Beach, Brunswick County","Swimming","M",22,"Lacerations of left forearm","N","Unknown","Holden Beach, Brunswick County , North Carolina , USA",33.9144900000001,-78.2622
"1-Jul-05",1,"Jul",2005,"Unprovoked","USA","Florida","Boca Grande, Lee County","Standing","M",19,"Ankle bitten","N","Unknown","Boca Grande, Lee County , Florida , USA",26.74875,-82.2600199999999
"27-Jun-05",27,"Jun",2005,"Unprovoked","USA","Florida","Cape San Blas, Gulf County","Fishing","M",16,"Leg severely bitten, surgically amputated","N","Bull shark","Cape San Blas, Gulf County , Florida , USA",29.66797,-85.3530699999999
"25-Jun-05",25,"Jun",2005,"Unprovoked","USA","Florida","Destin, Walton County","Swimming","F",14,"FATAL, leg bitten","Y","Bull shark","Destin, Walton County , Florida , USA",30.659395487,-86.1626863129999
"22-Jun-05",22,"Jun",2005,"Unprovoked","VANUATU","Malampa Province","Atchin Island off Malakula","Swimming","F",7,"FATAL","Y","Unknown","Atchin Island off Malakula , Malampa Province , VANUATU",-16.2499999999999,167.75
"16-Jun-05",16,"Jun",2005,"Unprovoked","USA","Florida","Howard E. Futch Memorial Park at Paradise Beach, Brevard County","Swimming","M",20,"Foot bitten","N","Unknown","Howard E. Futch Memorial Park at Paradise Beach, Brevard County , Florida , USA",28.1227900000001,-80.5767499999999
"13-Jun-05",13,"Jun",2005,"Unprovoked","SOUTH KOREA","South Ch'ungch'ong Province","Dando/Kaeui Island","Diving","F",38,"Knee bitten","N","White shark","Dando/Kaeui Island , South Ch'ungch'ong Province , SOUTH KOREA",36.5000000000001,127
"7-Jun-05",7,"Jun",2005,"Unprovoked","USA","South Carolina","Kiawah Island, Charleston County","Paddle and Boogie boarding","F",11,"Foot lacerated","N","Unknown","Kiawah Island, Charleston County , South Carolina , USA",32.5964000000001,-80.10774
"4-Jun-05",4,"Jun",2005,"Unprovoked","SOUTH AFRICA","Western Cape Province","Miller's Point","Diving","M",22,"FATAL","Y","White shark","Miller's Point , Western Cape Province , SOUTH AFRICA",-34.23142,18.47592
"2-Jun-05",2,"Jun",2005,"Unprovoked","USA","Texas","Mustang Island, Corpus Christi","Walking","M",6,"Two 2-inch lacerations on right foot","N","Unknown","Mustang Island, Corpus Christi , Texas , USA",27.7192288218896,-97.3719774150945
"28-May-05",28,"May",2005,"Unprovoked","USA","Florida","Daytona Beach Shores","Swimming","M",33,"Left foot bitten","N","Unknown","Daytona Beach Shores , Florida , USA",29.1719900000001,-80.98035
"25-May-05",25,"May",2005,"Unprovoked","SOUTH AFRICA","Eastern Cape Province","Kei River Mouth","Surfing","M",32,"Left buttock  & legs lacerated","N","Raggedtooth shark","Kei River Mouth , Eastern Cape Province , SOUTH AFRICA",-32.67718,28.3800400000001
"2-May-05",2,"May",2005,"Unprovoked","USA","Hawaii","Noreiga's, Maui","Surfing","M",47,"No injury, board damaged","N","Tiger shark","Noreiga's, Maui , Hawaii , USA",20.8595351270001,-156.564606782
"25-Apr-05",25,"Apr",2005,"Provoked","AUSTRALIA","New South Wales","Bermagui","Fishing","M",25,"Laceration on left thigh PROVOKED INCIDENT","N","Mako shark","Bermagui , New South Wales , AUSTRALIA",-36.42851,150.07615
"16-Apr-05",16,"Apr",2005,"Unprovoked","AUSTRALIA","Northern Territory","Bremer Island","Fishing","M",20,"Minor cuts above his right eye","N","Copper shark","Bremer Island , Northern Territory , AUSTRALIA",-12.1,136.86667
"16-Apr-05",16,"Apr",2005,"Unprovoked","AUSTRALIA","New South Wales","Bronte Beach","Surfing","M",40,"No injury, board bitten","N","Bronze whaler shark","Bronte Beach , New South Wales , AUSTRALIA",-32.7347474198937,151.606151112531
"13-Apr-05",13,"Apr",2005,"Unprovoked","USA","Florida","Crescent Beach, Sarasota County","Walking","F",70,"Right lower leg bitten","N","Blacktip shark","Crescent Beach, Sarasota County , Florida , USA",27.2564800000001,-82.5387499999999
"7-Apr-05",7,"Apr",2005,"Unprovoked","USA","Texas","Isla Blanca Park, South Padre Island, Cameron County","Surfing","M",37,"Left foot bitten","N","Unknown","Isla Blanca Park, South Padre Island, Cameron County , Texas , USA",26.0754000000001,-97.1629
"28-Mar-05",28,"Mar",2005,"Unprovoked","SOUTH AFRICA","Western Cape Province","Noordhoek","Surfing","M",32,"Lacerations to right calf, puncture wounds on right foot","N","Unknown","Noordhoek , Western Cape Province , SOUTH AFRICA",-34.10237,18.3860300000001
"19-Mar-05",19,"Mar",2005,"Unprovoked","AUSTRALIA","Western Australia","Wreck Point, Abrolhos Islands","Snorkeling","M",26,"FATAL","Y","White shark","Wreck Point, Abrolhos Islands , Western Australia , AUSTRALIA",-20.6194399999999,117.72778
"12-Mar-05",12,"Mar",2005,"Provoked","USA","New Mexico","Albuquerue Aquarium, Albuquerue","Diving","M",45,"2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT","N","Tiger shark","Albuquerue Aquarium, Albuquerue , New Mexico , USA",35.08423,-106.64905
"26-Feb-05",26,"Feb",2005,"Unprovoked","AUSTRALIA","Queensland","Brisbane River","Swimming","M",18,"Finger bitten","N","Bull shark","Brisbane River , Queensland , AUSTRALIA",-27.4,153.15
"4-Feb-05",4,"Feb",2005,"Unprovoked","BRAZIL","Bahia","Ilh?us","Surfing","M",12,"Right thigh & ankle injured","N","Unknown","Ilh?us , Bahia , BRAZIL",-14.78782,-39.04756
"20-Jan-05",20,"Jan",2005,"Unprovoked","CUBA","Santiago de Cuba Province","Uvero","Swimming","M",19,"Left foot severed","N","Unknown","Uvero , Santiago de Cuba Province , CUBA",20.1851344510001,-75.967706719
"8-Jan-05",8,"Jan",2005,"Boating","NEW ZEALAND","North Island","Taupiri Bay","Fishing","M",39,"No injury, kayak bumped repeatedly","N","White shark","Taupiri Bay , North Island , NEW ZEALAND",-37.6166699999999,175.18333
"11-Dec-04",11,"Dec",2004,"Unprovoked","AUSTRALIA","Queensland","Opal Reef","Fishing","M",38,"FATAL, leg bitten","Y","Bull shark","Opal Reef , Queensland , AUSTRALIA",-16.21667,145.9
"27-Nov-04",27,"Nov",2004,"Unprovoked","SOUTH AFRICA","Eastern Cape Province","Nahoon, East London","Surfing","M",20,"3 lacerations on foot","N","Raggedtooth shark","Nahoon, East London , Eastern Cape Province , SOUTH AFRICA",-32.9792830740076,27.9412388381523
"26-Nov-04",26,"Nov",2004,"Unprovoked","SOUTH AFRICA","Eastern Cape Province","Gonubie","Playing in the water","M",16,"Lacerations on lower leg & foot","N","Raggedtooth shark","Gonubie , Eastern Cape Province , SOUTH AFRICA",-32.190872375,26.475417807
"15-Nov-04",15,"Nov",2004,"Unprovoked","SOUTH AFRICA","Western Cape Province","Fish Hoek, False Bay","Swimming","F",77,"FATAL","Y","White shark","Fish Hoek, False Bay , Western Cape Province , SOUTH AFRICA",-33.8766899999999,22.3608400000001
