"Date","Day","Month","Year","Type","Country","Area","Location","Activity","Sex","Age","Injury","Fatal..Y.N.","Species","address","latitude","longitude"
"30-Nov-17",30,"Nov",2017,"Unprovoked","COSTA RICA","Cocos Island","Manuelita","Diving","F",49,"FATAL","Y","Tiger shark","Manuelita , Cocos Island , COSTA RICA",5.53333000000003,-87.06667
"24-Nov-17",24,"Nov",2017,"Unprovoked","USA","California","Stillwater Cove, Monterey County","Fishing","M",25,"Right leg bitten","N","White shark","Stillwater Cove, Monterey County , California , USA",36.56962,-121.96577
"18-Nov-17",18,"Nov",2017,"Unprovoked","USA","Florida","Floridana Beach, Brevard County","Surfing","F",14,"Heel bitten","N","Unknown","Floridana Beach, Brevard County , Florida , USA",27.94473,-80.49584
"13-Nov-17",13,"Nov",2017,"Unprovoked","AUSTRALIA","New South Wales","Avoca Beach","Surfing","M",25,"Puncture wounds to left shoulder","N","Unknown","Avoca Beach , New South Wales , AUSTRALIA",-33.46744,151.43378
"4-Nov-17",4,"Nov",2017,"Unprovoked","CUBA","Holquin Province","Guardalavaca Beach","Swimming","M",22,"FATAL","Y","Tiger shark","Guardalavaca Beach , Holquin Province , CUBA",21.1200000000001,-75.8338899999999
"31-Oct-17",31,"Oct",2017,"Unprovoked","AUSTRALIA","Queensland","Magnetic Island","Snorkeling","M",7,"Calf injured","N","Cookiecutter shark","Magnetic Island , Queensland , AUSTRALIA",-19.15514,146.8485
"28-Oct-17",28,"Oct",2017,"Unprovoked","AUSTRALIA","New South Wales","Birubi Point","Surfing","M",31,"Minor injury to foot","N","Wobbegong shark","Birubi Point , New South Wales , AUSTRALIA",-33.6494591350842,151.310055069228
"23-Oct-17",23,"Oct",2017,"Unprovoked","USA","Florida","Juno Beach, Palm Beach County","Surfing","M",17,"Lacerations to left foot","N","Unknown","Juno Beach, Palm Beach County , Florida , USA",26.8719400000001,-80.0526199999999
"23-Oct-17",23,"Oct",2017,"Unprovoked","USA","Florida","Ocean Reef Park, Singer Island, Palm Beach County","Swimming","F",60,"Severe lacerations to left hand & wrist","N","Unknown","Ocean Reef Park, Singer Island, Palm Beach County , Florida , USA",26.79378,-80.0345
"22-Oct-17",22,"Oct",2017,"Unprovoked","AUSTRALIA","South Australia","Normanville","Fishing","F",15,"Minor injuries","N","White shark","Normanville , South Australia , AUSTRALIA",-35.44724,138.31814
"9-Oct-17",9,"Oct",2017,"Unprovoked","USA","Hawaii","Davidsons Beach, Kekaha, Kauai","Surfing","M",54,"Lacerations to left hand","N","Tiger shark","Davidsons Beach, Kekaha, Kauai , Hawaii , USA",21.9660500000001,-159.71288
"5-Oct-17",5,"Oct",2017,"Unprovoked","USA","Hawaii","Kama?ole Beach Park, Maui","Snorkeling","F",40,"Abrasions","N","Unknown","Kama?ole Beach Park, Maui , Hawaii , USA",20.72029,-156.44701
"16-Sep-17",16,"Sep",2017,"Unprovoked","SPAIN","Canary Islands","Gran Canaria","Surfing","M",13,"Lacerations to right foot","N","Porbeagle shark","Gran Canaria , Canary Islands , SPAIN",28.1105900000001,-15.41932
"16-Sep-17",16,"Sep",2017,"Unprovoked","USA","Florida","Ponce Inlet, Volusia County","Surfing","M",28,"Lacerations to left foot","N","Unknown","Ponce Inlet, Volusia County , Florida , USA",29.12154,-80.9520899999999
"13-Sep-17",13,"Sep",2017,"Unprovoked","USA","Florida","Ponce Inlet, Volusia County","Surfing","M",18,"Lacerations to left foot","N","Unknown","Ponce Inlet, Volusia County , Florida , USA",29.12154,-80.9520899999999
"10-Sep-17",10,"Sep",2017,"Unprovoked","AUSTRALIA","New South Wales","Iluka Beach","Surfing","M",35,"Minor lacerations to right hip","N","White shark","Iluka Beach , New South Wales , AUSTRALIA",-33.2112053621189,151.521449712054
"3-Sep-17",3,"Sep",2017,"Unprovoked","JAPAN","Shizuoka Prefecture","Iwata City","Surfing","M",42,"Injury to ankle & feet","N","Unknown","Iwata City , Shizuoka Prefecture , JAPAN",34.71785385,137.8515097
